"name","url","file","status"
"07_anexo_iv_mapa_3_eixos_estruturacao_municipal","https://pousoalegre.mg.gov.br/uploads/69c6d5532d571.pdf","C:\Users\vish8\OneDrive\Documentos\RecomendacaoImobiliaria\data\official\plano_diretor\07_anexo_iv_mapa_3_eixos_estruturacao_municipal.pdf","downloaded"
"08_anexo_iv_mapa_3a_eixos_estruturacao_urbana","https://pousoalegre.mg.gov.br/uploads/69c6d6064e675.pdf","C:\Users\vish8\OneDrive\Documentos\RecomendacaoImobiliaria\data\official\plano_diretor\08_anexo_iv_mapa_3a_eixos_estruturacao_urbana.pdf","downloaded"
"09_anexo_iv_mapa_3b_eixos_rural_ambiental","https://pousoalegre.mg.gov.br/uploads/69c6d65bcab34.pdf","C:\Users\vish8\OneDrive\Documentos\RecomendacaoImobiliaria\data\official\plano_diretor\09_anexo_iv_mapa_3b_eixos_rural_ambiental.pdf","downloaded"
"10_anexo_v_mapa_4a_articulacao_viaria","https://pousoalegre.mg.gov.br/uploads/69c6d677815b9.pdf","C:\Users\vish8\OneDrive\Documentos\RecomendacaoImobiliaria\data\official\plano_diretor\10_anexo_v_mapa_4a_articulacao_viaria.pdf","downloaded"
"11_anexo_ix_mapa_6_riscos_inundacao_deslizamento","https://pousoalegre.mg.gov.br/uploads/69c6d6bac973c.pdf","C:\Users\vish8\OneDrive\Documentos\RecomendacaoImobiliaria\data\official\plano_diretor\11_anexo_ix_mapa_6_riscos_inundacao_deslizamento.pdf","downloaded"
"12_anexo_xiv_mapa_7a_polos_estrategicos","https://pousoalegre.mg.gov.br/uploads/69c6d76d28b4f.pdf","C:\Users\vish8\OneDrive\Documentos\RecomendacaoImobiliaria\data\official\plano_diretor\12_anexo_xiv_mapa_7a_polos_estrategicos.pdf","downloaded"
"13_anexo_xiv_mapa_7b_polos_rural_sustentavel","https://pousoalegre.mg.gov.br/uploads/69c6d789a7b8d.pdf","C:\Users\vish8\OneDrive\Documentos\RecomendacaoImobiliaria\data\official\plano_diretor\13_anexo_xiv_mapa_7b_polos_rural_sustentavel.pdf","downloaded"
